image,celeb,role,movie,description
"https://m.media-amazon.com/images/M/MV5BMjM3NDA5NTgxNl5BMl5BanBnXkFtZTgwMzU3NDc4NDE@._V1_UY209_CR14,0,140,209_AL_.jpg",Andy Garcia,Actor,Ocean's Eleven,"One of Hollywood's most private and guarded leading men, Andy Garcia has created iconic characters while at the same time staying true to his acting roots and personal projects.Garcia was born Andrés Arturo García Menéndez on April 12, 1956, in Havana, Cuba, to Amelie Menéndez, a teacher of English..."
"https://m.media-amazon.com/images/M/MV5BMTYxMDgzMjA5OV5BMl5BanBnXkFtZTcwMzMwMTUxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg",James Gunn,Writer,Guardians of the Galaxy,"James Gunn was born and raised in St. Louis, Missouri, to Leota and James Francis Gunn. He is from a large Catholic family, with Irish and Czech ancestry. His father and his uncles were all lawyers. He has been writing and performing as long as he can remember. He began making 8mm films at the age ..."
"https://m.media-amazon.com/images/M/MV5BMTU0OTcwOTUyMl5BMl5BanBnXkFtZTcwMzcyNTczOQ@@._V1_UY209_CR93,0,140,209_AL_.jpg",Nikki Glaser,Actress,Trainwreck,"Nikki Glaser was born as Nicole Rene Glaser. She is a writer and producer, known for  (2015),  (2009) and  (2013)."
"https://m.media-amazon.com/images/M/MV5BMTQ3ODE2NTMxMV5BMl5BanBnXkFtZTgwOTIzOTQzMjE@._V1_UY209_CR14,0,140,209_AL_.jpg",Emma Watson,Actress,The Perks of Being a Wallflower,"Emma Charlotte Duerre Watson was born in Paris, France, to British parents, Jacqueline Luesby and Chris Watson, both lawyers. She moved to Oxfordshire when she was five, where she attended the Dragon School. From the age of six, Emma knew that she wanted to be an actress and, for a number of years,..."
"https://m.media-amazon.com/images/M/MV5BMjIzOTA0OTQyN15BMl5BanBnXkFtZTcwMjE1OTIwMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",Anna Kendrick,Actress,Up in the Air,"Anna Kendrick was born in Portland, Maine, to Janice (Cooke), an accountant, and William Kendrick, a teacher. She has an older brother, , who has also acted. She is of English, Irish, and Scottish descent.For her role as ""Dinah"" in ""High Society"" on Broadway, Anna Kendrick was..."
"https://m.media-amazon.com/images/M/MV5BMzE5MzI0MzY2OF5BMl5BanBnXkFtZTgwODE3MTk4MTE@._V1_UY209_CR9,0,140,209_AL_.jpg",Aaron Taylor-Johnson,Actor,Kick-Ass,"Aaron Taylor-Johnson is an English stage, television, and film actor.He was born Aaron Perry Johnson in High Wycombe, Buckinghamshire, to Sarah and Robert Johnson, a civil engineer. He has a sister, , who had a small role in his movie  (2002). Aaron is of ..."
"https://m.media-amazon.com/images/M/MV5BNDU0MDc1YTQtZmNmYS00ZDUyLWEwMjctNzkxNjVhZmZkYzI2XkEyXkFqcGdeQXVyODYwNDY2NTg@._V1_UY209_CR10,0,140,209_AL_.jpg",Dakota Blue Richards,Actress,The Golden Compass,"Dakota Blue Richards, was born at the Chelsea and Westminster Hospital in South Kensington, London but grew up in Brighton with her mother. She is of Prussian heritage on her Grandmother's side, and Irish on her father's. The name Dakota Blue was inspired by her mother's time spent with Native ..."
"https://m.media-amazon.com/images/M/MV5BNjQxMTIzMTk2NF5BMl5BanBnXkFtZTgwMDQ3ODc1MzI@._V1_UY209_CR1,0,140,209_AL_.jpg",Kiernan Shipka,Actress,Carriers,"Kiernan Shipka was born in Chicago, Illinois, to John Young Shipka, a real estate developer, and his wife, Erin Ann, a one-time queen of Chicago's St. Patrick's Day parade. The family relocated to Los Angeles when she was six to support her acting career. Kiernan got her black belt in taekwondo in ..."
"https://m.media-amazon.com/images/M/MV5BMTg0MDc3ODUwOV5BMl5BanBnXkFtZTcwMTk2NjY4Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Matthew McConaughey,Actor,Dallas Buyers Club,"American actor and producer Matthew David McConaughey was born in Uvalde, Texas. His mother, Mary Kathleen (McCabe), is a substitute school teacher originally from New Jersey. His father, James Donald McConaughey, was a Mississippi-born gas station owner who ran an oil pipe supply business. He is ..."
"https://m.media-amazon.com/images/M/MV5BMjZhY2JkOGQtNTUyNy00OTQ5LWE3ZDgtYTliY2MzYjRhNmRiXkEyXkFqcGdeQXVyMzUxMDA2ODU@._V1_UY209_CR76,0,140,209_AL_.jpg",Israel Broussard,Actor,The Bling Ring,"Israel Broussard is an American actor. He was born Isaiah Israel Broussard on August 22, 1994 in Gulfport, Mississippi to Angela (Clapp) and Lawrence Clayton Adams. His biological father passed away when he was four, and he was raised in Saucier, Mississippi by his mother and stepfather, Gil ..."
"https://m.media-amazon.com/images/M/MV5BMTgyMzYwMDI2OF5BMl5BanBnXkFtZTgwMzg3NjYwMzE@._V1_UY209_CR21,0,140,209_AL_.jpg",Renée Zellweger,Actress,Chicago,"Renée Kathleen Zellweger was born on April 25, 1969, in Katy, Texas, USA. Her mother, Kjellfrid Irene (Andreassen), is a Norwegian-born former nurse and midwife, of Norwegian, Kven (Finnish), and Swedish descent. Her father, Emil Erich Zellweger, is a Swiss-born engineer. The two married in 1963. ..."
"https://m.media-amazon.com/images/M/MV5BMjMzMzY3MDY3OF5BMl5BanBnXkFtZTgwNjA5MTE1NTM@._V1_UY209_CR4,0,140,209_AL_.jpg",Jacob Tremblay,Actor,Room,"Jacob Tremblay is a Canadian actor. He made his film debut for the live-action animated film  (2013). His breakout performance was in  (2015), for which he received critical acclaim. In 2016, Tremblay played a supporting role in the comedy film ..."
"https://m.media-amazon.com/images/M/MV5BMjAzMjkzNzA0M15BMl5BanBnXkFtZTcwNzMyNjU3MQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",Steve Carell,Actor,The Office,"Steve Carell, one of America's most versatile comics, was born Steven John Carell on August 16, 1962, in Concord, Massachusetts. He is the son of Harriet Theresa (Koch), a psychiatric nurse, and Edwin A. Carell, an electrical engineer. His mother was of Polish descent and his father, of Italian and..."
"https://m.media-amazon.com/images/M/MV5BZjRlMTA0YmYtZTE1ZS00NDk3LWI0MjQtNmEyMzllNDVmODM0XkEyXkFqcGdeQXVyMTIxMTA0Ng@@._V1_UY209_CR14,0,140,209_AL_.jpg",Emma Roberts,Actress,We're the Millers,"Emma Roberts is the daughter of Oscar-nominated actor , and the niece of Oscar-winner . She was born in Rhinebeck, New York. Emma was a baby when her parents separated, and she grew up living with her mother, Kelly Cunningham. She was educated at Archer School for Girls in ..."
"https://m.media-amazon.com/images/M/MV5BMTI4NTczNTMzN15BMl5BanBnXkFtZTYwNjYwMzU0._V1_UY209_CR1,0,140,209_AL_.jpg",Taika Waititi,Actor,What We Do in the Shadows,"Taika Waititi, also known as Taika Cohen, hails from the Raukokore region of the East Coast, and is of Te-Whanau-a-Apanui (father) and Jewish (mother) descent. He has been involved in the film industry for several years, initially as an actor, and now focusing on writing and directing.Two Cars, One..."
"https://m.media-amazon.com/images/M/MV5BNDA1NTM4ODQ4Ml5BMl5BanBnXkFtZTgwODQ1Mjg5OTE@._V1_UY209_CR8,0,140,209_AL_.jpg",Ruth Wilson,Actress,Locke,"Ruth Wilson, born on 13 January 1982, is an English actress. She is known for her performances in  (2006),  (2006), and as ""Alice Morgan"" in the BBC-TV psychological crime drama,  (2010), since 2010. She has also appeared in  (2012),  (..."
"https://m.media-amazon.com/images/M/MV5BMjIwNjk3MjgyOF5BMl5BanBnXkFtZTcwNTUzNjE3NA@@._V1_UY209_CR2,0,140,209_AL_.jpg",AnnaSophia Robb,Actress,Bridge to Terabithia,"AnnaSophia Robb was born on the 8th December 1993 in Denver, Colorado, USA, to Janet, an interior designer, and Dave Robb, an architect. She has Danish, English, Irish, Scottish, and Swedish ancestry.Robb started off life with a dream to act, and began by performing on a church stage in her home ..."
"https://m.media-amazon.com/images/M/MV5BMTc2MjA2NjExNV5BMl5BanBnXkFtZTgwMzQwNDkyNzE@._V1_UY209_CR34,0,140,209_AL_.jpg",Alice Kremelberg,Actress,Orange Is the New Black,"Alice Kremelberg is a New York born actress. She was born to Peter Kremelberg; a teacher and stained glass artist and Bernadette Ginley; a hearing impaired teacher and world traveler.Alice found her love for the stage early while performing ""The Nutcracker"" annually at The Hofstra Playhouse under ..."
"https://m.media-amazon.com/images/M/MV5BOGU3NDA5ODMtZDdkZi00MWZmLTkxZTktN2ZhMzhkNWZhYjE0XkEyXkFqcGdeQXVyNDI5MjI1NA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Jessica Keenan Wynn,Actress,Mamma Mia! Here We Go Again,"Jessica Keenan Wynn is an actress, known for  (2018),  (2016) and  (2014)."
"https://m.media-amazon.com/images/M/MV5BMTI1MTdlMTctMmVlYi00YjFkLTg2OWEtYTg2NzEzNzg5NzhlXkEyXkFqcGdeQXVyMjE2OTA3NTQ@._V1_UY209_CR8,0,140,209_AL_.jpg",Nick Robinson,Actor,Jurassic World,"Nick Robinson made his film debut starring as Joe in CBS Films' critically-acclaimed adventure film  (2013), followed by shooting a lead role in the Universal action adventure sequel  (2015), where he starred alongside Chris Pratt, Judy Greer, Vincent D'Onofrio and ..."
"https://m.media-amazon.com/images/M/MV5BMzM3NjAyNTQxOF5BMl5BanBnXkFtZTgwMDU2NDQ1ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",Britt Robertson,Actress,Tomorrowland,"Brittany Leanna Robertson was born in Charlotte, North Carolina, to Beverly (Hayes) and Ryan Robertson, a restaurateur. She was raised in South Carolina, the oldest of seven children. Her mother's worries about the public school system led to Robertson being home-schooled. She began acting at the ..."
"https://m.media-amazon.com/images/M/MV5BMTgyMjI2MjY1NV5BMl5BanBnXkFtZTcwODUyNjkxMw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Patricia Clarkson,Actress,The Green Mile,"This remarkable, one-of-a-kind actress has, since the early 1990s, intrigued film and TV audiences with her glowing, yet careworn eccentricity and old world-styled glamour. Very much in demand these days as a character player, Patricia Clarkson nevertheless continues to avoid the temptation of ..."
"https://m.media-amazon.com/images/M/MV5BOTY1MTc3MjcyNl5BMl5BanBnXkFtZTcwMDg4MDAwMg@@._V1_UY209_CR7,0,140,209_AL_.jpg",Kate Mulgrew,Actress,Orange Is the New Black,"Katherine Kiernan Mulgrew, or Kate Mulgrew, was born on April 29, 1955. She grew up in Dubuque, Iowa, the oldest girl in an Irish Catholic family of eight. When Kate, as a 12-year-old, expressed an interest in acting, her mother, Joan, brought home biographies of great actresses and sent Kate to ..."
"https://m.media-amazon.com/images/M/MV5BNjgzNDIxNTA1M15BMl5BanBnXkFtZTgwOTU5NzE0MDI@._V1_UY209_CR13,0,140,209_AL_.jpg",Emily Ratajkowski,Actress,We Are Your Friends,"Emily O'Hara Ratajkowski was born in London, England, to American parents, Kathleen (Balgley), a professor, and John David Ratajkowski, a painter. She is of British Isles, German, Polish, and Jewish ancestry. Emily was raised in Encinitas, California, near San Diego. She traveled a lot, and also ..."
"https://m.media-amazon.com/images/M/MV5BMjI4OTQ1NTcxOF5BMl5BanBnXkFtZTcwOTc1NTU0OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Angela Bassett,Actress,Strange Days,"Captivating, gifted, and sensational, Angela Bassett's presence has been felt in theaters, stages, and television screens throughout the world. Angela Evelyn Bassett was born on August 16, 1958 in New York City, to Betty Jane (Gilbert), a social worker, and Daniel Benjamin Bassett, a preacher's son..."
"https://m.media-amazon.com/images/M/MV5BMjE4NTExMTcxN15BMl5BanBnXkFtZTcwMjYwMDc4Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Jennifer Grey,Actress,Dirty Dancing,"Jennifer Grey is an American actress who starred in the film  (1987) opposite , a sleeper hit that would become one of the biggest films of the 1980s. She had previously appeared with  in 's cold war drama  (1984) as 'Toni', one of the '..."
"https://m.media-amazon.com/images/M/MV5BMjAxNTEzNDk2OV5BMl5BanBnXkFtZTgwNDYyMzQwMjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Cole Hauser,Actor,2 Fast 2 Furious,"Cole Hauser was born in Santa Barbara, California. He is the son of , who founded a film production company (Warner Sisters), and , an actor. His grandfathers were screenwriters  and , and his maternal great-grandfather was film mogul ..."
"https://m.media-amazon.com/images/M/MV5BMjExNTM5NDE4NV5BMl5BanBnXkFtZTcwNzczMzEzOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Saoirse Ronan,Actress,Hanna,"Saoirse Una Ronan was born in The Bronx, New York City, New York, United States, to Irish parents,  (née Brennan) and , an actor. When Saoirse was three, the family moved back to Dublin, Ireland. Saoirse grew up in Dublin and briefly in Co. Carlow before moving back to Dublin ..."
"https://m.media-amazon.com/images/M/MV5BMTg2ODIyNjAyN15BMl5BanBnXkFtZTcwMjMzNTUxMw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Joseph Mazzello,Actor,Jurassic Park,"Born in Rhinebeck, New York, he got into acting when he was 5 years old, after his sister had appeared in 30-odd commercials. Since then he has acted opposite some of the best actors in Hollywood as a bright, expressive actor with complexity, sensitivity, and emotion. He attended film school at USC..."
"https://m.media-amazon.com/images/M/MV5BMTU3Mzc4NzM5OF5BMl5BanBnXkFtZTcwNTE1NDg1OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Suki Waterhouse,Actress,"Love, Rosie","Suki Waterhouse was born Alice Suki Waterhouse in Hammersmith, London, the daughter of Elizabeth, a cancer care nurse, and Norman Waterhouse, a plastic surgeon. Suki quit her education at 16 years old to pursue a modeling career. At that age, she was a self-confessed tomboy who competed in karate ..."
"https://m.media-amazon.com/images/M/MV5BMjE3NDQ2NDIyOV5BMl5BanBnXkFtZTgwMzc4NzY0NDE@._V1_UY209_CR13,0,140,209_AL_.jpg",Hugh Skinner,Actor,W1A,Hugh was born on 6 January 1985 in London. He attended Eastbourne College from 1998 to 2003. He studied drama at the London Academy of Music and Dramatic Art and on graduation went into stage work. After minor roles in 'Tess of the D'Urbervilles' and 'Any Human Heart' on television in 2014 he ...
"https://m.media-amazon.com/images/M/MV5BMjA5NTg1MjAyMV5BMl5BanBnXkFtZTgwNDQ0MzY1ODE@._V1_UY209_CR19,0,140,209_AL_.jpg",Cara Delevingne,Actress,Suicide Squad,"Cara Jocelyn Delevingne was born in London, England, to Pandora Anne (Stevens) and Charles Hamar Delevingne, a property developer. Her parents are both from prominent upper-class families, with her ancestors including Viscounts (Greenwood), Baronets (Hulton, Faudel-Phillips), Majors and Lord Mayors..."
"https://m.media-amazon.com/images/M/MV5BOTBlNjAxZTctMGJlNS00ZWYwLWFiYTctNGJmM2FhNTZiNjQyL2ltYWdlXkEyXkFqcGdeQXVyMjIzODg1ODM@._V1_UY209_CR116,0,140,209_AL_.jpg",Sean Young,Actress,Blade Runner,"Mary Sean Young was born on November 20, 1959 in Louisville, Kentucky. She is the daughter of Lee Guthrie (née Mary Lee Kane), an Emmy-nominated producer, screenwriter, public relations executive, and journalist, and Donald Young, Jr., an Emmy award winning television news producer and journalist. ..."
"https://m.media-amazon.com/images/M/MV5BNDExMzIzNjk3Nl5BMl5BanBnXkFtZTcwOTE4NDU5OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Hugh Jackman,Actor,Les Misérables,"Hugh Michael Jackman is an Australian actor, singer, multi-instrumentalist, dancer and producer. Jackman has won international recognition for his roles in major films, notably as superhero, period, and romance characters. He is best known for his long-running role as Wolverine in the X-Men film ..."
"https://m.media-amazon.com/images/M/MV5BMTg3MTQyMTU4Nl5BMl5BanBnXkFtZTgwMzgzOTQ3MDE@._V1_UX140_CR0,0,140,209_AL_.jpg",Jonathan Rhys Meyers,Actor,Match Point,"Jonathan Rhys Meyers was born Jonathan Michael Francis O'Keefe on July 27, 1977, in Dublin, Ireland, to Mary Geraldine (Meyers) and John O'Keeffe, a musician. He and his family moved to County Cork, Ireland, when the actor was nearly a year old, and then, at the age of 3, his father left the family..."
"https://m.media-amazon.com/images/M/MV5BNzEyYjI1YzAtNjUxYS00OGUzLTg3MWQtYjE0YzkxNDNmMTFhXkEyXkFqcGdeQXVyMjE4NzcyMDM@._V1_UY209_CR51,0,140,209_AL_.jpg",Honeysuckle Weeks,Actress,Foyle's War,"Honeysuckle Weeks was born on August 1, 1979 in Cardiff, Wales as Honeysuckle Susan Weeks. She is an actress, known for  (2002),  (2011) and  (2016). She has been married to Lorne Stormonth-Darling since July 2007. They have one child."
"https://m.media-amazon.com/images/M/MV5BMTI5NzgzMjgwMF5BMl5BanBnXkFtZTcwODYzNDc1Mw@@._V1_UY209_CR14,0,140,209_AL_.jpg",Emily Browning,Actress,A Series of Unfortunate Events,"Australian actress Emily Browning was born in 1988 in Melbourne, Australia, to Shelley and Andrew Browning. She has two younger brothers. Her start in acting came after a classmate's father, involved in the acting business, noticed her ""acting all ditsy"" in a school play. Emily found an agent and ..."
"https://m.media-amazon.com/images/M/MV5BZTdkZjlmYTQtMGMwNS00Yzk3LTg4YWItMzVlNTY0MmNiMzM3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR8,0,140,209_AL_.jpg",Emily Bett Rickards,Actress,Arrow,"Canadian actress Emily Bett Rickards was born on July 24, 1991. She attended film school after graduating high school, and also attended Alida Vocal Studio. She plays ""Felicity Smoak"" on the CW network's  (2012) and  (2014), and appears in the upcoming, acclaimed feature film, ..."
"https://m.media-amazon.com/images/M/MV5BMTQ0MDA2ODE2Ml5BMl5BanBnXkFtZTcwMjI0Nzc3Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Eva Green,Actress,Casino Royale,"French actress and model Eva Gaëlle Green was born on July 6, 1980, in Paris, France. Her father, , is a dentist who appeared in the 1966 film  (1966). Her mother, , is an actress turned children's book writer. Eva's mother was born in Algeria, of ..."
"https://m.media-amazon.com/images/M/MV5BNTRhZjhiNzgtMzgxMy00ZjRlLWE0YzktNzk5MDQ0ZmNjMDdmXkEyXkFqcGdeQXVyMTg1NTk0NTI@._V1_UY209_CR2,0,140,209_AL_.jpg",Rachel Brosnahan,Actress,House of Cards,"Rachel Brosnahan (born December 15, 1990) is an American actress. She is known for her roles in the film Beautiful Creatures (2013), in the Netflix original series House of Cards as Rachel Posner and in the TV series Manhattan as Abby Isaacs. She won a Golden Globe Award for Best Actress in ..."
"https://m.media-amazon.com/images/M/MV5BNjRmMThkZTItNGQ3Yy00NDc0LWE5OWMtYzkxMDRkMzI1OTcyXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Olivia Wilde,Actress,Tron,"Actress and activist Olivia Wilde is a modern day renaissance woman, starring in many of Hollywood's acclaimed productions, while simultaneously giving back to the community.Wilde was born on March 10, 1984 in New York City. Her parents are  (née Leslie Corkill Redlich) and ..."
"https://m.media-amazon.com/images/M/MV5BNzEzMTI2NjEyNF5BMl5BanBnXkFtZTcwNTA0OTE4OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Idris Elba,Actor,Beasts of No Nation,"An only child, Idrissa Akuna Elba was born and raised in London, England. His father, Winston, is from Sierra Leone and worked at Ford Dagenham; his mother, Eve, is from Ghana and had a clerical duty. Idris attended school in Canning Town, where he first became involved in acting, before he dropped..."
"https://m.media-amazon.com/images/M/MV5BMTgzMDk3MjI4OF5BMl5BanBnXkFtZTgwMzQxMDY5NjE@._V1_UY209_CR13,0,140,209_AL_.jpg",Daisy Ridley,Actress,Star Wars: Episode VII - The Force Awakens,"Daisy Jazz Isobel Ridley is an English actress. She is best known for her breakthrough role as ""Rey"" in the 2015 film,  (2015). Daisy was born in Westminster, London, on April 10, 1992. She is the daughter of Louise Fawkner-Corbett and Chris Ridley. Her great-uncle was ..."
"https://m.media-amazon.com/images/M/MV5BODkyNjUzNDQ0NF5BMl5BanBnXkFtZTcwMjE2MDQ4Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Jackie Sandler,Actress,Pixels,"Jacqueline Samantha Titone was born in 1974 in Coral Springs, Florida, to  and Joseph Titone. She began modeling during high school and eventually became nationally, and internationally, known for modeling such clothing for big name companies. Jackie was later introduced into the acting ..."
"https://m.media-amazon.com/images/M/MV5BMTg4NTExODc3Nl5BMl5BanBnXkFtZTgwODUyMDEzMDE@._V1_UY209_CR8,0,140,209_AL_.jpg",Daniel Radcliffe,Actor,Harry Potter and the Deathly Hallows: Part 2,"Daniel Jacob Radcliffe was born on July 23, 1989 in Fulham, London, England, to casting agent  (née Jacobson) and literary agent . His father is from a Northern Irish Protestant background, while his mother was born in South Africa, to a Jewish family (from Lithuania, ..."
"https://m.media-amazon.com/images/M/MV5BODg3MzYwMjE4N15BMl5BanBnXkFtZTcwMjU5NzAzNw@@._V1_UY209_CR15,0,140,209_AL_.jpg",Angelina Jolie,Actress,Maleficent,"Angelina Jolie is an Academy Award-winning actress who became popular after playing the title role in the ""Lara Croft"" blockbuster movies, as well as  (2005),  (2008),  (2010) and  (2014). Off-screen, Jolie has become prominently involved in international ..."
"https://m.media-amazon.com/images/M/MV5BYzYyNmUwMmItYzE4YS00ZTQxLWJiNjUtNzA0OGIzZGYzNDk2XkEyXkFqcGdeQXVyNDg4OTQzNjg@._V1_UX140_CR0,0,140,209_AL_.jpg",Walton Goggins,Actor,Justified,"In the past few years, Walton Goggins has had pivotal roles in films by two of Hollywood's most important auteurs: Quentin Tarantino and Steven Spielberg. His integral role as 'Chris Mannix,' a southern renegade who claims to be the new sheriff of Red Rock in Tarantino's THE HATEFUL EIGHT, marks ..."
"https://m.media-amazon.com/images/M/MV5BMTg5ODk5OTU3MV5BMl5BanBnXkFtZTcwNjM1NDUxMg@@._V1_UY209_CR10,0,140,209_AL_.jpg",Elisabeth Shue,Actress,Leaving Las Vegas,"Elisabeth Shue was born in Wilmington, Delaware, to Anne Brewster (Wells), who worked for the Chemical Banking Corporation, and James William Shue, a lawyer and real estate developer. She is of German and English ancestry, including descent from Mayflower passengers. Shue's parents divorced while ..."
"https://m.media-amazon.com/images/M/MV5BMTc2NjM5MTUzNl5BMl5BanBnXkFtZTcwNzQyOTM2Nw@@._V1_UY209_CR16,0,140,209_AL_.jpg",Annabelle Wallis,Actress,The Mummy,"Annabelle Wallis is an English actress best known for her roles as Jane Seymour in Showtime's period drama The Tudors, Grace Burgess in the BBC drama Peaky Blinders, and for the films Annabelle (2014), and The Mummy (2017). She was born in Oxford, but spent much of her childhood in Portugal, ..."
"https://m.media-amazon.com/images/M/MV5BMTU0MzE2NTI1NV5BMl5BanBnXkFtZTcwODcwMzMwOQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",Sarah Shahi,Actress,Bullet to the Head,"Sarah Shahi was born Aahoo Jahansouz in Euless, Texas, to an Iranian father and Spanish mother. She is a former NFL cheerleader and a descendant of a 19th-century Persian Shah. She attended Trinity High School and Dallas Southern Methodist University, studied opera and majored in English. As a ..."
"https://m.media-amazon.com/images/M/MV5BNjUzMDIzNjkxMl5BMl5BanBnXkFtZTgwNjgyNzA0MjI@._V1_UY209_CR87,0,140,209_AL_.jpg",Paul Bettany,Actor,Master and Commander: The Far Side of the World,"Paul Bettany is an English actor. He first came to the attention of mainstream audiences when he appeared in the British film  (2000), and director 's film  (2001). He has gone on to appear in a wide variety of films, including  (2001), ..."
"https://m.media-amazon.com/images/M/MV5BMTQzNjU3MDczN15BMl5BanBnXkFtZTYwNzY2Njc4._V1_UY209_CR0,0,140,209_AL_.jpg",Julia Roberts,Actress,Pretty Woman,"Julia Fiona Roberts never dreamed she would become the most popular actress in America. She was born in Smyrna, Georgia, to Betty Lou (Bredemus) and Walter Grady Roberts, one-time actors and playwrights, and is of English, Irish, Scottish, Welsh, German, and Swedish descent. As a child, due to her ..."
"https://m.media-amazon.com/images/M/MV5BNTM0NDEwMjA1MV5BMl5BanBnXkFtZTcwMzQxMDI3Mg@@._V1_UY209_CR1,0,140,209_AL_.jpg",Katherine Heigl,Actress,One for the Money,"Katherine Marie Heigl was born on November 24, 1978 in Washington, D.C., to  (née Engelhardt), a personnel manager, and Paul Heigl, an accountant and executive. Her father is of German/Swiss-German and Irish descent, and her mother is of German ancestry. A short time after her birth, the..."
"https://m.media-amazon.com/images/M/MV5BMTIwMzAwMzg1MV5BMl5BanBnXkFtZTYwMjc4ODQ2._V1_UX140_CR0,0,140,209_AL_.jpg",Stanley Kubrick,Director,2001: A Space Odyssey,"Stanley Kubrick was born in Manhattan, New York City, to Sadie Gertrude (Perveler) and Jacob Leonard Kubrick, a physician. His family were Jewish immigrants (from Austria, Romania, and Russia). Stanley was considered intelligent, despite poor grades at school. Hoping that a change of scenery would ..."
"https://m.media-amazon.com/images/M/MV5BMTg1OTgyMTYzOF5BMl5BanBnXkFtZTYwOTAwMDY2._V1_UY209_CR5,0,140,209_AL_.jpg",Mary Carlisle,Actress,The Sweetheart of Sigma Chi,"She was the standard prototype of the porcelain-pretty collegiate and starry-eyed romantic interest in a host of Depression-era films and although her name may not ring a bell to most, Mary Carlisle enjoyed a fairly solid decade in the cinematic limelight. The Boston-born, blue-eyed blonde was ..."
"https://m.media-amazon.com/images/M/MV5BMzNiYzc2NDEtNDFlYy00ZTM4LTgwZTQtM2YxZGE5ZmFkOWI1XkEyXkFqcGdeQXVyNTMwNDc0Mw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Elizabeth Perkins,Actress,Sharp Objects,"Elizabeth Ann Perkins was born on November 18, 1960, in the borough of Queens, New York, and was raised in Vermont. Her mother, Jo Williams, was a concert pianist and drug treatment counselor, and her father, James Perkins, was a businessman, farmer, and writer. She is of Greek and English descent...."
"https://m.media-amazon.com/images/M/MV5BMzQ5YWRlYjktZDM5My00N2YwLTg4N2ItYmY2ZDQ4ZGYwMzBkXkEyXkFqcGdeQXVyNDU1NjUxOTc@._V1_UY209_CR18,0,140,209_AL_.jpg",Naomi Scott,Actress,Power Rangers,"Naomi Scott was born in London, England. She first starting singing with the Bridge Church Youth Band and regularly performed in school musicals. Scott was eventually discovered by British pop star Kelle Bryan from the band Eternal who signed Naomi as a client. She then went to work with Xenomania...."
"https://m.media-amazon.com/images/M/MV5BMjI4NjQ5NDA5M15BMl5BanBnXkFtZTgwNDE0MjQzMjE@._V1_UY209_CR94,0,140,209_AL_.jpg",Dave Bautista,Actor,Guardians of the Galaxy,"David Michael Bautista, Jr. was born on January 18, 1969 in Washington, D.C., to Donna Raye (Mullins) and David Michael Bautista, a hairdresser. His father is Filipino, and his mother has Greek ancestry.When WCW officials told him he'd never make it in sports entertainment, Bautista pushed himself ..."
"https://m.media-amazon.com/images/M/MV5BMjI3NTkyMDYyOF5BMl5BanBnXkFtZTgwNjkyNzc4OTE@._V1_UY209_CR8,0,140,209_AL_.jpg",Joe Manganiello,,Justice League,"Joe Manganiello is an American actor. He was born in Pittsburgh, Pennsylvania, to Susan (Brachanow) and Charles John Manganiello, and has a younger brother, Nicholas. His father is of Italian descent and his mother has German/Austrian/Croatian and Armenian ancestry. Joe was raised in Mount Lebanon ..."
"https://m.media-amazon.com/images/M/MV5BMTc2MTM2MjQ3OF5BMl5BanBnXkFtZTcwNDU4NDIxOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Pablo Schreiber,Actor,13 Hours,"Pablo Tell Schreiber was born in Ymir, British Columbia, Canada, to Lorraine Reaveley, a Canadian psychotherapist, and , an American actor. His paternal half-brother is actor . Pablo, who is named after Chilean poet , was raised in Ymir, and moved to Seattle,..."
"https://m.media-amazon.com/images/M/MV5BMTQ1NTQwMTYxNl5BMl5BanBnXkFtZTYwMjA1MzY1._V1_UX140_CR0,0,140,209_AL_.jpg",Samuel L. Jackson,Actor,Pulp Fiction,"Samuel L. Jackson is an American producer and highly prolific actor, having appeared in over 100 films, including  (1995),  (2000),  (2000),  (2001),  (2006),  (2006), and the Star Wars prequel trilogy (1999-..."
